pressure_extend,pressure_retract,position,velocity,pressure_diff,fault_any
5.74,186.52,-0.0013,-0.0006,-180.78,0
6.14,186.3,-0.0001,0.0128,-180.16000000000005,0
5.22,187.79,0.0003,-0.0017,-182.57,0
3.62,186.39,-0.0,0.0225,-182.77,0
4.87,186.09,0.0011,-0.0018,-181.22,0
5.43,187.0,0.0002,0.0044,-181.57,0
4.81,186.55,0.0016,-0.0023,-181.74,0
6.26,186.26,0.0015,0.001,-180.0,0
6.22,187.91,0.0007,0.0082,-181.69,0
4.97,188.13,-0.0016,-0.0044,-183.16,0
5.17,187.3,0.0003,-0.0058,-182.13,0
5.85,186.96,-0.0004,0.0068,-181.11,0
5.49,188.07,-0.0013,-0.0098,-182.58,0
5.0,188.29,0.0029,-0.0091,-183.29,0
4.6,186.36,-0.0019,0.0087,-181.76,0
4.18,186.97,-0.0006,0.0028,-182.79,0
6.32,185.92,-0.0014,0.009,-179.6,0
4.52,187.24,-0.0003,-0.0084,-182.72,0
5.34,187.75,-0.0004,-0.0019,-182.41,0
6.82,186.29,0.0002,0.0086,-179.47,0
3.57,187.2,-0.0009,-0.0027,-183.63,0
5.81,188.2,-0.0007,-0.0201,-182.39,0
3.8,186.83,-0.0004,0.004,-183.03,0
5.38,186.89,-0.0008,-0.0057,-181.51,0
6.0,185.79,-0.0004,0.0074,-179.79,0
5.1,186.74,-0.0014,-0.0154,-181.64,0
7.34,186.7,-0.0003,-0.0064,-179.36,0
6.81,187.12,-0.0001,-0.0041,-180.31,0
5.06,187.14,0.0014,0.0063,-182.08,0
5.5,186.43,0.0021,-0.0025,-180.93,0
4.54,187.21,-0.0001,-0.0065,-182.67,0
6.23,186.23,-0.0011,0.001,-180.0,0
5.67,186.27,-0.0013,-0.0083,-180.6,0
6.4,186.97,-0.0011,0.0113,-180.57,0
6.62,188.11,-0.0006,-0.0047,-181.49,0
7.03,187.3,0.0004,-0.0002,-180.27,0
3.98,187.81,-0.002,0.0256,-183.83,0
3.29,186.69,-0.0007,-0.0077,-183.4,0
5.67,185.55,0.0006,0.0006,-179.88000000000002,0
5.37,185.6,0.0006,-0.0096,-180.23,0
4.84,186.9,0.0011,0.0031,-182.06,0
2.83,186.86,0.0007,-0.0146,-184.03,0
5.26,186.08,0.0002,0.0026,-180.82,0
5.45,185.65,-0.0014,-0.0013,-180.2,0
6.33,186.6,0.0013,0.003,-180.27,0
4.34,185.69,-0.0005,0.0064,-181.35,0
5.2,186.84,0.0006,-0.0125,-181.64,0
2.96,187.04,0.0006,0.0187,-184.08,0
5.78,186.49,-0.0012,0.0004,-180.71,0
4.28,185.95,0.0011,-0.0039,-181.67,0
5.87,186.49,-0.0002,0.004,-180.62,0
4.56,187.61,0.0008,-0.0094,-183.05,0
5.76,189.38,-0.0008,0.0095,-183.62,0
4.8,189.89,-0.0007,0.0006,-185.09,0
5.38,186.14,0.0008,-0.0161,-180.76,0
5.31,186.45,-0.0003,-0.0137,-181.14,0
7.99,189.56,0.0003,0.0055,-181.57,0
6.17,186.17,-0.0003,0.0037,-180.0,0
4.61,187.1,0.0014,0.0088,-182.49,0
5.8,184.89,-0.0006,-0.0083,-179.08999999999995,0
6.29,185.68,0.0009,-0.0165,-179.39,0
5.51,187.89,0.0004,0.0198,-182.38,0
4.27,185.96,-0.0006,-0.0059,-181.69,0
4.84,187.74,0.0008,0.0023,-182.9,0
4.81,187.32,-0.0003,-0.0078,-182.51,0
5.31,185.68,-0.0,0.0151,-180.37,0
4.43,188.41,0.0017,0.0179,-183.98,0
4.91,187.37,-0.0012,-0.0055,-182.46,0
4.49,187.04,0.0009,0.0062,-182.55,0
7.24,186.66,0.0001,0.0032,-179.42,0
5.59,185.48,0.0006,-0.0183,-179.89,0
3.31,187.49,0.0012,0.0039,-184.18,0
4.77,187.47,-0.0004,-0.0027,-182.7,0
5.0,185.58,-0.0001,0.0133,-180.58,0
2.96,186.77,-0.0003,0.0001,-183.81,0
4.75,188.05,-0.0021,0.0008,-183.3,0
5.61,186.59,-0.0001,0.0,-180.98,0
3.97,187.17,0.0005,-0.0221,-183.2,0
3.96,186.68,-0.0002,-0.0118,-182.72,0
5.24,186.5,0.0013,-0.0064,-181.26,0
5.44,188.6,0.002,-0.0127,-183.16,0
4.63,187.06,-0.0005,0.0129,-182.43,0
4.42,186.39,-0.0009,-0.0034,-181.97,0
3.63,187.29,-0.0009,-0.0052,-183.66,0
4.86,187.5,0.0008,-0.0066,-182.64,0
4.83,187.65,-0.0014,-0.0139,-182.82,0
4.11,187.6,-0.0014,-0.0081,-183.49,0
5.35,187.08,0.0008,-0.0111,-181.73,0
4.48,187.24,-0.0004,0.0019,-182.76,0
4.49,187.35,-0.0003,-0.0134,-182.86,0
5.7,187.62,0.0002,-0.0109,-181.92,0
5.23,188.15,-0.0001,-0.0035,-182.92,0
3.61,187.09,0.0021,-0.0054,-183.48,0
4.82,186.55,-0.0004,0.0023,-181.73,0
5.38,187.45,-0.0006,-0.0125,-182.07,0
6.2,187.07,0.0004,0.0081,-180.87,0
5.3,188.82,0.0003,-0.0168,-183.52,0
4.69,187.55,-0.0009,0.0009,-182.86,0
6.04,188.36,0.0001,-0.0006,-182.32,0
5.19,187.06,-0.0008,0.029,-181.87,0
3.87,185.48,-0.0008,0.0081,-181.61,0
4.54,187.05,0.0005,-0.0049,-182.51,0
5.43,187.72,0.0012,-0.0095,-182.29,0
5.44,186.55,-0.0019,0.0071,-181.11,0
3.83,187.94,0.0001,-0.0156,-184.11,0
3.46,186.95,-0.0012,-0.0027,-183.49,0
3.07,186.62,-0.0008,0.0033,-183.55,0
4.76,186.92,-0.0015,-0.0071,-182.16,0
5.07,186.32,0.0005,0.0021,-181.25,0
5.62,186.74,-0.0017,-0.0026,-181.12,0
3.92,186.84,-0.0002,0.0182,-182.92,0
6.14,188.13,-0.0005,0.0016,-181.99,0
6.09,187.25,0.0008,-0.0166,-181.16,0
6.1,185.34,0.0007,0.0002,-179.24,0
4.26,186.67,0.002,0.0237,-182.41,0
6.34,188.13,0.001,0.0157,-181.79,0
3.67,189.04,0.0001,0.025,-185.37,0
6.77,186.27,0.0,-0.0048,-179.5,0
4.13,187.1,-0.0003,-0.0102,-182.97,0
5.8,185.77,-0.0007,0.0115,-179.97,0
5.66,186.63,0.0005,-0.0046,-180.97,0
4.99,186.43,0.0006,0.0113,-181.44,0
3.92,188.28,0.001,-0.0166,-184.36,0
3.41,188.13,-0.0017,-0.0094,-184.72,0
4.6,188.05,-0.0003,-0.0147,-183.45,0
4.4,184.87,-0.0008,-0.0127,-180.47,0
6.07,187.12,-0.0,-0.0032,-181.05,0
6.7,185.52,0.0009,-0.0033,-178.82000000000002,0
4.62,187.79,-0.0,-0.0114,-183.17,0
4.66,185.97,-0.0014,-0.0042,-181.31,0
5.73,187.0,0.0002,-0.0101,-181.27,0
5.47,186.11,-0.0004,-0.0011,-180.64,0
6.36,185.54,0.0021,0.0067,-179.17999999999998,0
2.9,187.68,0.0024,0.0109,-184.78,0
4.76,188.64,0.0007,0.0231,-183.88,0
5.33,184.58,-0.0,-0.0135,-179.25,0
5.6,184.67,0.002,0.0114,-179.07,0
3.86,185.0,-0.0005,0.0126,-181.14,0
4.52,185.91,-0.0011,-0.0048,-181.39,0
4.57,187.3,0.0013,-0.0131,-182.73,0
5.05,186.64,0.0007,-0.0044,-181.59,0
5.74,186.99,-0.0009,0.0001,-181.25,0
5.11,187.77,0.001,0.0127,-182.66,0
4.89,188.07,-0.001,-0.0109,-183.18,0
5.04,187.14,-0.0016,0.0108,-182.1,0
6.28,185.59,-0.0002,-0.0007,-179.31,0
4.57,187.06,0.0,0.0023,-182.49,0
4.48,186.31,-0.0003,0.0173,-181.83,0
3.4,186.08,0.0007,-0.0041,-182.68,0
5.09,189.59,0.0008,-0.0061,-184.5,0
4.89,185.58,-0.0015,0.0017,-180.69000000000003,0
4.94,185.72,0.0006,-0.0028,-180.78,0
5.51,187.69,-0.0003,-0.0166,-182.18,0
5.09,187.04,0.0009,0.0098,-181.95,0
3.1,185.89,-0.0012,-0.009,-182.79,0
4.49,186.58,-0.0006,0.002,-182.09,0
7.08,187.42,0.0013,0.0047,-180.34,0
3.27,184.59,0.0016,-0.0052,-181.32,0
