pressure_outlet,speed_rpm,temperature,vibration,power,component_type,component_id,timestamp,time_s,fault_pressure,fault_overheat,fault_any
312.53,2150,51.44,1.356,1119.8991666666664,pump,main_pump,2025-11-08T10:51:57.544757+00:00,0.01,0,0,0
311.25,2150,50.79,1.439,1115.3125,pump,main_pump,2025-11-08T10:51:57.545268+00:00,0.02,0,0,0
312.1,2150,51.38,1.545,1118.3583333333333,pump,main_pump,2025-11-08T10:51:57.545268+00:00,0.03,0,0,0
312.59,2150,51.92,1.54,1120.1141666666667,pump,main_pump,2025-11-08T10:51:57.545792+00:00,0.04,0,0,0
310.13,2150,50.51,1.389,1111.2991666666667,pump,main_pump,2025-11-08T10:51:57.545792+00:00,0.05,0,0,0
310.36,2150,51.35,1.26,1112.1233333333332,pump,main_pump,2025-11-08T10:51:57.545792+00:00,0.06,0,0,0
313.28,2150,51.28,1.429,1122.5866666666664,pump,main_pump,2025-11-08T10:51:57.545792+00:00,0.07,0,0,0
312.54,2150,50.5,1.512,1119.935,pump,main_pump,2025-11-08T10:51:57.546315+00:00,0.08,0,0,0
311.43,2150,51.15,1.493,1115.9575,pump,main_pump,2025-11-08T10:51:57.546315+00:00,0.09,0,0,0
311.93,2150,50.18,1.377,1117.7491666666667,pump,main_pump,2025-11-08T10:51:57.546315+00:00,0.1,0,0,0
311.89,2150,50.33,1.501,1117.6058333333333,pump,main_pump,2025-11-08T10:51:57.546831+00:00,0.11,0,0,0
310.94,2150,51.03,1.538,1114.2016666666666,pump,main_pump,2025-11-08T10:51:57.546831+00:00,0.12,0,0,0
311.87,2150,51.89,1.551,1117.5341666666666,pump,main_pump,2025-11-08T10:51:57.546831+00:00,0.13,0,0,0
312.44,2150,51.31,1.497,1119.5766666666666,pump,main_pump,2025-11-08T10:51:57.546831+00:00,0.14,0,0,0
313.69,2150,51.52,1.321,1124.0558333333333,pump,main_pump,2025-11-08T10:51:57.547349+00:00,0.15,0,0,0
312.01,2150,51.73,1.22,1118.0358333333334,pump,main_pump,2025-11-08T10:51:57.547349+00:00,0.16,0,0,0
